,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,100.0,200.0,-700.0,0.2501,0.3126,0.46885,rock1,series1,7,3
1,100.0,500.0,-700.0,0.2501,0.5001,0.46885,rock1,series1,7,3
2,100.0,800.0,-700.0,0.2501,0.6876,0.46885,rock1,series1,7,3
3,200.0,200.0,-700.0,0.3126,0.3126,0.46885,rock1,series1,7,3
4,200.0,500.0,-700.0,0.3126,0.5001,0.46885,rock1,series1,7,3
5,200.0,800.0,-700.0,0.3126,0.6876,0.46885,rock1,series1,7,3
6,900.0,200.0,-675.0,0.7501,0.3126,0.484475,rock1,series1,7,3
7,900.0,500.0,-675.0,0.7501,0.5001,0.484475,rock1,series1,7,3
8,900.0,800.0,-675.0,0.7501,0.6876,0.484475,rock1,series1,7,3
9,800.0,200.0,-675.0,0.6876,0.3126,0.484475,rock1,series1,7,3
10,800.0,500.0,-675.0,0.6876,0.5001,0.484475,rock1,series1,7,3
11,800.0,800.0,-675.0,0.6876,0.6876,0.484475,rock1,series1,7,3
