X,Y,Z
613.773,-1.322,150.200
614.773,2.678,149.910
614.773,5.678,149.960
613.773,8.678,150.220
614.773,10.678,150.010
614.773,14.678,149.980
613.773,13.678,150.240
613.773,20.678,150.190
613.773,19.678,150.200
614.773,18.678,149.930
615.773,17.678,149.720
612.773,39.678,150.820
612.773,42.678,150.920
613.773,43.678,150.590
615.773,25.678,149.710
616.773,24.678,149.510
615.773,21.678,149.720
612.773,31.678,150.670
612.773,36.678,150.730
613.773,35.678,150.380
613.773,38.678,150.430
613.773,-4.322,150.180
613.773,-2.322,150.190
615.773,1.678,149.730
615.773,3.678,149.720
614.773,7.678,149.990
615.773,12.678,149.790
615.773,16.678,149.730
614.773,15.678,149.970
613.773,40.678,150.490
614.773,27.678,149.980
615.773,26.678,149.720
614.773,34.678,150.090
613.773,32.678,150.340
614.773,-6.322,149.960
614.773,-3.322,149.980
615.773,-0.322,149.780
615.773,-2.322,149.770
616.773,0.678,149.520
615.773,5.678,149.780
615.773,9.678,149.830
616.773,10.678,149.600
616.773,15.678,149.520
617.773,14.678,149.250
616.773,19.678,149.520
615.773,18.678,149.720
617.773,18.678,149.260
617.773,17.678,149.250
616.773,16.678,149.520
614.773,39.678,150.150
614.773,42.678,150.240
615.773,43.678,150.010
617.773,22.678,149.270
617.773,20.678,149.260
616.773,25.678,149.500
614.773,31.678,150.000
615.773,30.678,149.750
616.773,29.678,149.540
614.773,37.678,150.110
615.773,35.678,149.850
615.773,-4.322,149.770
616.773,1.678,149.510
616.773,4.678,149.530
617.773,3.678,149.240
617.773,2.678,149.230
616.773,8.678,149.610
617.773,7.678,149.300
615.773,38.678,149.870
615.773,41.678,149.940
617.773,28.678,149.280
615.773,33.678,149.820
616.773,34.678,149.610
616.773,-5.322,149.510
617.773,-7.322,149.170
616.773,-3.322,149.520
616.773,-2.322,149.520
617.773,-0.322,149.230
617.773,-1.322,149.210
617.773,6.678,149.290
617.773,9.678,149.300
615.773,39.678,149.890
616.773,42.678,149.730
617.773,30.678,149.290
616.773,32.678,149.560
617.773,37.678,149.390
617.773,-4.322,149.190
617.773,39.678,149.410
617.773,41.678,149.440
616.773,40.678,149.680
617.773,33.678,149.330
617.773,-3.322,149.200
594.773,86.678,153.710
592.773,81.678,153.210
590.523,73.928,152.350
590.523,73.428,152.330
595.773,81.678,153.950
594.773,78.678,153.710
593.773,77.678,153.430
590.523,79.428,152.330
590.523,79.928,152.310
590.523,80.428,152.300
590.523,80.928,152.280
596.773,85.678,154.120
590.523,75.928,152.390
592.773,60.678,153.280
591.773,58.678,153.200
590.523,78.428,152.370
590.523,72.928,152.320
590.523,72.428,152.310
590.523,71.928,152.290
590.523,75.428,152.380
590.523,74.928,152.380
590.523,74.428,152.360
594.773,64.678,153.690
593.773,61.678,153.450
592.773,70.678,153.210
595.773,68.678,153.950
590.523,78.928,152.350
598.773,81.678,154.230
596.773,80.678,154.120
601.773,85.678,154.140
594.773,74.678,153.690
594.773,71.678,153.700
590.523,76.428,152.400
590.523,76.928,152.400
593.773,59.678,153.600
593.773,57.678,153.730
592.773,56.678,153.470
594.773,60.678,153.750
590.523,77.928,152.380
596.773,79.678,154.130
595.773,78.678,153.970
595.773,77.678,153.960
595.773,63.678,153.940
597.773,63.678,154.190
591.773,53.678,153.150
590.523,77.428,152.390
594.773,76.678,153.700
598.773,80.678,154.230
600.773,80.678,154.180
600.381,80.623,154.247
597.773,71.678,154.200
595.773,70.678,153.950
593.773,70.678,153.430
596.773,75.678,154.120
595.773,59.678,153.990
594.773,58.678,153.890
597.773,60.678,154.170
596.773,69.678,154.120
600.137,68.283,154.268
599.773,64.678,154.200
594.773,56.678,153.950
593.773,55.678,153.720
592.773,50.678,153.250
597.773,78.678,154.210
597.246,76.377,154.239
601.773,62.678,154.120
594.773,53.678,153.880
593.773,52.678,153.590
601.773,79.678,154.120
600.178,73.306,154.257
600.248,71.114,154.257
596.773,57.678,154.110
596.773,59.678,154.100
600.700,55.684,154.232
595.773,55.678,154.070
595.773,51.678,153.980
594.773,49.678,153.710
593.773,46.678,153.440
594.773,44.678,153.690
597.773,55.678,154.150
597.686,51.919,154.213
600.826,73.058,154.068
600.756,73.351,154.039
596.773,46.678,154.090
601.140,73.270,154.079
600.519,51.046,154.254
598.773,45.678,154.180
603.773,82.678,154.030
605.773,83.678,153.750
606.773,81.678,153.440
604.773,79.678,153.900
605.773,86.678,153.770
607.773,86.678,153.160
606.773,85.678,153.480
607.773,83.678,153.140
602.773,64.678,154.080
603.027,68.044,154.037
604.773,67.678,153.870
605.773,66.678,153.600
604.773,63.678,153.840
603.773,62.678,153.990
602.773,77.678,154.070
603.773,76.678,154.010
605.773,79.678,153.700
605.773,76.678,153.700
608.773,81.678,152.760
607.773,80.678,153.090
605.773,62.678,153.580
606.773,60.678,153.220
604.773,58.678,153.810
603.773,69.678,154.010
609.773,84.678,152.460
607.773,58.678,152.830
605.773,57.678,153.520
603.773,55.678,153.970
606.773,65.678,153.250
605.773,72.678,153.680
606.773,70.678,153.320
604.773,74.678,153.910
607.773,79.678,153.080
606.773,78.678,153.420
610.773,81.678,152.080
609.773,80.678,152.400
606.773,56.678,153.160
604.773,53.678,153.740
606.773,61.678,153.240
607.773,60.678,152.860
607.773,65.678,152.880
608.773,62.678,152.540
608.773,69.678,152.590
608.773,66.678,152.540
612.773,83.678,151.420
608.773,76.678,152.690
606.773,75.678,153.400
608.773,79.678,152.740
607.773,55.678,152.790
605.773,52.678,153.440
602.773,50.678,154.050
609.773,60.678,152.160
608.773,57.678,152.470
608.773,73.678,152.670
607.773,71.678,152.980
613.773,86.678,151.100
608.773,78.678,152.730
610.773,79.678,152.050
613.773,82.678,151.080
612.773,80.678,151.390
603.773,49.678,153.940
608.773,61.678,152.530
609.773,65.678,152.200
609.773,67.678,152.220
610.773,66.678,151.870
609.773,70.678,152.270
610.773,69.678,151.920
617.773,85.678,149.930
614.773,84.678,150.740
614.773,83.678,150.740
607.773,75.678,153.040
609.773,78.678,152.380
610.773,77.678,152.020
609.773,75.678,152.320
609.773,53.678,152.070
608.773,50.678,152.400
606.773,50.678,153.090
609.773,56.678,152.120
610.773,54.678,151.750
610.773,61.678,151.840
611.773,59.678,151.470
610.773,57.678,151.780
611.773,64.678,151.520
610.773,71.678,151.940
604.773,47.678,153.700
616.773,84.678,150.130
611.773,78.678,151.700
615.773,82.678,150.400
615.773,80.678,150.360
611.773,68.678,151.580
611.773,67.678,151.560
611.773,74.678,151.640
611.773,70.678,151.590
609.773,49.678,152.060
610.773,48.678,151.700
604.773,44.678,153.660
617.773,83.678,149.890
613.773,79.678,151.020
611.773,53.678,151.390
610.773,51.678,151.720
611.773,55.678,151.440
612.773,58.678,151.130
613.773,56.678,150.760
612.773,61.678,151.180
612.773,66.678,151.180
614.773,64.678,150.470
613.773,62.678,150.840
612.773,69.678,151.240
612.773,72.678,151.270
611.773,75.678,151.660
612.773,77.678,151.350
616.773,80.678,150.080
616.773,79.678,150.050
614.773,79.678,150.670
613.773,60.678,150.820
613.773,68.678,150.860
613.773,74.678,150.960
613.773,71.678,150.910
611.773,50.678,151.360
614.773,78.678,150.650
612.773,52.678,151.040
614.773,55.678,150.410
614.773,58.678,150.440
614.773,61.678,150.490
614.773,66.678,150.460
614.773,70.678,150.540
614.773,73.678,150.580
612.773,48.678,151.000
611.773,47.678,151.350
613.773,76.678,150.990
615.773,78.678,150.300
615.773,57.678,150.140
615.773,59.678,150.160
616.773,62.678,149.940
616.773,65.678,149.910
615.773,69.678,150.200
615.773,67.678,150.170
614.773,75.678,150.610
615.773,74.678,150.250
616.773,71.678,149.950
613.773,49.678,150.640
615.773,77.678,150.280
617.773,77.678,149.760
616.773,53.678,149.870
616.773,55.678,149.880
616.773,58.678,149.910
615.773,70.678,150.220
616.773,73.678,149.960
613.773,47.678,150.650
612.773,46.678,151.000
617.773,56.678,149.670
617.773,59.678,149.700
616.773,68.678,149.940
617.773,69.678,149.720
617.773,75.678,149.730
616.773,74.678,149.960
614.773,46.678,150.340
613.773,45.678,150.650
616.773,49.678,149.780
615.773,48.678,150.020
614.773,47.678,150.330
617.773,53.678,149.640
615.773,45.678,150.070
616.773,46.678,149.820
617.773,48.678,149.560
617.773,45.678,149.570
616.773,44.678,149.800
579.023,175.428,149.390
568.015,155.363,148.973
572.072,155.363,149.016
574.168,155.363,149.076
578.369,155.363,149.293
579.023,155.363,149.295
579.584,155.363,149.371
580.191,155.363,149.409
582.056,155.363,149.617
582.757,155.363,149.818
583.289,155.363,149.978
583.835,155.363,150.157
584.588,155.363,150.376
585.284,155.363,150.562
586.110,155.363,150.859
586.458,155.363,150.966
587.306,155.363,151.204
587.588,155.363,151.322
588.168,155.363,151.528
588.893,155.363,151.809
589.007,155.363,151.854
589.036,155.363,151.864
589.929,155.363,152.140
590.254,155.363,152.279
590.023,200.928,152.140
590.023,199.928,152.150
589.523,197.928,152.000
589.023,198.928,151.800
589.023,200.428,151.790
588.023,203.928,151.380
590.023,201.928,152.130
589.523,203.928,151.970
589.023,202.928,151.780
588.523,191.928,151.650
587.523,193.428,151.320
587.023,194.928,151.160
586.023,197.928,150.840
584.523,202.928,150.350
590.023,192.428,152.220
586.523,196.428,150.950
586.023,199.428,150.800
586.023,201.928,150.820
585.023,203.928,150.500
588.023,194.928,151.450
587.523,195.928,151.310
587.023,197.928,151.130
586.523,198.928,150.930
586.523,200.928,150.910
585.523,202.928,150.660
589.523,194.928,152.030
588.523,194.928,151.670
588.023,196.928,151.450
587.023,199.928,151.090
587.523,201.928,151.270
587.023,202.928,151.100
586.523,203.928,150.910
589.023,195.928,151.830
587.523,198.928,151.280
588.023,197.928,151.440
588.023,200.928,151.480
590.023,196.428,152.200
588.523,196.928,151.660
588.523,199.928,151.690
588.523,202.928,151.670
589.523,201.928,151.950
587.023,203.928,151.100
578.523,192.928,149.610
576.523,195.428,149.360
579.023,192.428,149.640
577.523,194.928,149.460
576.523,200.928,149.370
580.523,192.428,149.760
580.523,193.928,149.820
579.023,195.428,149.720
578.023,196.428,149.620
577.023,198.428,149.420
582.023,192.428,149.870
577.523,199.428,149.540
576.523,204.428,149.370
581.523,194.928,149.940
580.523,197.928,149.830
578.523,200.928,149.680
583.523,192.428,150.040
580.523,203.928,149.860
583.523,194.428,150.110
582.523,195.428,150.020
580.023,201.428,149.800
586.023,192.428,150.850
584.523,193.428,150.360
581.523,198.928,149.950
581.523,202.928,149.960
582.023,204.428,150.030
584.023,195.428,150.220
584.523,196.928,150.370
582.023,201.428,150.040
583.023,204.428,150.110
587.523,191.928,151.310
585.523,193.428,150.700
586.023,194.428,150.870
583.023,199.928,150.120
583.023,202.928,150.120
587.023,193.428,151.150
585.523,195.928,150.680
585.023,199.428,150.520
583.523,200.928,150.180
584.023,203.928,150.200
576.023,193.928,149.290
571.023,198.928,149.090
571.523,198.928,149.090
568.023,204.428,148.980
571.023,203.428,149.040
575.523,198.928,149.280
586.023,175.928,150.780
588.523,180.928,151.660
587.023,177.928,151.120
587.523,176.928,151.310
590.023,182.928,152.150
586.023,178.928,150.800
585.023,181.928,150.560
583.023,185.428,150.010
584.523,186.428,150.380
586.023,189.928,150.840
585.023,190.928,150.550
587.523,180.928,151.320
587.023,180.428,151.140
588.523,182.928,151.650
590.023,183.928,152.130
586.023,181.428,150.800
585.523,182.928,150.670
584.523,184.428,150.370
583.523,185.428,150.160
586.023,186.928,150.820
586.523,188.928,150.960
589.523,183.928,152.000
588.023,182.928,151.560
586.023,182.928,150.800
585.023,184.428,150.540
585.523,185.928,150.650
584.023,185.428,150.190
588.023,189.428,151.500
586.523,191.428,150.950
586.523,181.428,150.990
587.523,183.928,151.320
587.023,182.428,151.150
589.523,185.928,152.020
589.023,184.928,151.830
586.523,185.928,151.000
587.523,187.428,151.270
588.023,190.928,151.430
587.523,188.428,151.280
588.523,184.928,151.650
589.523,187.428,152.030
590.023,189.928,152.190
586.523,184.428,151.030
587.023,185.928,151.150
588.523,189.428,151.680
588.523,188.428,151.670
588.523,186.428,151.650
588.023,185.928,151.490
589.523,191.428,152.010
588.023,187.428,151.480
589.023,188.928,151.830
584.023,178.428,150.210
582.523,180.928,149.890
582.523,183.428,149.950
581.023,184.928,149.790
581.023,185.928,149.780
583.023,189.928,149.920
586.023,169.928,150.890
586.023,171.428,150.850
586.523,172.428,150.930
585.023,174.928,150.520
587.023,166.428,151.130
589.523,175.428,152.020
589.523,172.428,151.990
589.023,178.928,151.840
589.023,170.428,151.860
588.523,168.428,151.690
588.023,166.928,151.470
584.523,176.428,150.370
584.523,179.928,150.390
584.023,180.928,150.180
581.523,186.928,149.850
583.523,188.928,150.010
586.523,167.428,150.970
585.523,167.928,150.670
587.023,168.428,151.170
587.023,173.428,151.150
586.523,174.928,150.960
585.523,175.928,150.660
588.523,174.428,151.660
589.023,173.428,151.850
589.023,179.928,151.830
588.523,177.928,151.650
589.023,176.928,151.830
588.023,170.928,151.460
588.523,169.428,151.650
585.023,176.928,150.530
585.023,178.928,150.550
582.523,185.428,149.960
582.023,186.428,149.910
583.023,186.928,150.030
584.523,189.928,150.340
584.023,190.928,150.210
588.023,169.428,151.480
587.523,170.928,151.300
587.523,172.428,151.290
588.023,175.428,151.560
588.023,179.928,151.480
587.523,179.428,151.320
587.523,168.428,151.310
589.023,181.928,151.840
585.523,177.928,150.670
585.523,179.928,150.640
584.523,182.928,150.360
583.523,183.928,150.170
585.023,187.428,150.510
585.523,188.928,150.680
579.523,175.428,149.480
578.523,180.428,149.450
578.523,183.428,149.440
578.523,186.928,149.480
583.023,168.428,149.990
584.023,170.928,150.200
585.023,164.928,150.500
588.023,163.928,151.460
587.523,163.928,151.280
590.023,164.428,152.200
589.523,165.428,152.030
581.523,175.428,149.720
581.523,180.928,149.750
578.023,184.428,149.360
577.523,190.428,149.380
578.023,191.428,149.540
584.023,167.428,150.230
584.023,168.928,150.230
583.023,172.928,150.090
584.523,164.928,150.340
586.023,164.428,150.850
589.023,164.928,151.850
582.523,177.428,149.890
579.523,181.428,149.580
579.023,182.428,149.510
580.023,184.428,149.670
579.523,185.428,149.580
580.023,189.928,149.700
584.523,165.928,150.350
584.523,169.928,150.330
584.523,171.928,150.340
582.523,174.428,149.950
585.523,165.928,150.630
587.523,164.928,151.290
587.023,164.928,151.140
590.023,168.928,152.190
589.523,167.428,151.990
589.023,166.428,151.830
583.523,176.428,150.100
583.523,179.928,150.110
580.523,181.928,149.700
580.523,183.428,149.730
580.023,186.428,149.650
581.023,187.928,149.770
579.023,190.928,149.630
585.023,166.928,150.490
584.523,167.928,150.360
585.023,168.928,150.490
585.023,170.928,150.510
585.523,173.928,150.620
584.023,175.428,150.190
588.523,165.928,151.660
590.023,174.428,152.160
589.523,177.428,152.020
590.023,171.428,152.210
581.023,163.428,149.610
579.523,166.428,149.530
583.023,161.928,149.930
586.023,160.428,150.810
588.023,160.428,151.420
582.023,162.928,149.670
579.523,164.428,149.410
584.523,160.428,150.350
584.023,161.428,150.210
589.023,158.928,151.840
588.523,159.928,151.720
580.023,167.928,149.630
579.023,169.928,149.490
583.023,164.928,150.010
580.523,165.428,149.680
583.523,162.928,150.090
582.523,162.928,149.730
587.023,161.928,151.080
585.523,161.928,150.660
589.023,161.928,151.840
581.523,166.428,149.780
578.023,172.928,149.310
584.523,162.928,150.330
577.523,184.428,149.310
582.523,167.428,149.930
582.023,168.928,149.830
579.523,171.428,149.520
582.023,166.428,149.800
584.023,164.428,150.280
588.023,162.928,151.460
586.523,162.928,150.980
579.523,176.928,149.530
576.523,189.928,149.280
581.023,171.428,149.720
580.523,172.928,149.610
583.523,165.428,150.080
585.023,162.928,150.500
585.523,163.928,150.690
588.523,162.928,151.670
586.023,162.928,150.820
589.523,163.928,151.990
579.023,157.928,149.200
580.523,156.928,149.440
581.523,156.428,149.500
583.023,156.428,149.930
584.023,155.928,150.240
586.523,157.428,150.950
587.023,155.928,151.130
588.523,156.428,151.670
589.023,155.428,151.860
590.023,155.928,152.170
578.023,159.928,149.110
581.023,160.428,149.530
582.523,158.428,149.670
584.523,158.428,150.390
585.523,157.928,150.660
587.523,157.928,151.250
578.023,165.428,149.290
586.023,159.428,150.810
587.023,159.428,151.110
589.023,157.428,151.830
580.023,163.428,149.470
579.023,164.428,149.360
583.523,160.428,150.050
584.023,159.428,150.220
587.523,159.428,151.270
588.523,158.428,151.680
589.523,157.928,152.000
578.523,167.928,149.400
571.023,177.928,149.080
574.023,172.428,149.190
572.023,182.428,149.210
576.023,179.428,149.210
573.523,180.928,149.100
568.023,191.428,149.010
575.023,190.928,149.210
570.523,157.428,148.980
575.523,159.428,149.130
568.523,160.428,148.920
575.023,165.928,149.210
568.523,171.928,148.970
573.023,167.928,149.110
569.023,137.928,149.020
566.023,132.928,148.930
564.523,119.928,148.930
575.023,122.928,149.020
569.523,112.428,148.990
566.523,110.928,148.980
576.023,121.928,149.100
574.523,111.928,149.090
571.523,94.428,149.040
581.023,95.428,149.270
583.023,95.928,149.790
582.023,96.928,149.520
582.023,94.428,149.430
581.523,94.428,149.350
583.023,92.928,149.780
582.023,91.928,149.500
583.523,91.928,149.910
583.023,90.928,149.790
580.523,87.428,149.190
583.523,93.928,149.930
583.523,96.928,149.910
584.023,91.928,150.180
583.523,89.928,150.070
584.023,95.428,150.220
584.023,90.928,150.190
585.523,94.428,150.700
584.523,91.928,150.370
585.023,95.928,150.530
585.523,96.928,150.750
584.523,90.928,150.360
584.523,89.928,150.330
585.023,88.928,150.500
584.023,87.928,150.190
587.023,92.428,151.170
586.023,91.428,150.880
585.523,90.928,150.680
586.023,94.428,150.900
586.523,96.428,150.990
585.023,89.928,150.500
585.523,87.428,150.630
584.023,87.428,150.200
586.023,89.928,150.850
586.523,88.928,151.020
586.523,90.428,150.960
587.523,93.428,151.330
588.523,92.428,151.750
588.023,91.428,151.550
587.023,94.428,151.190
587.523,96.928,151.340
587.023,89.428,151.190
588.023,87.928,151.520
588.023,89.928,151.540
588.023,93.928,151.480
589.023,91.428,151.850
589.023,92.428,151.860
590.023,93.928,152.220
588.523,87.928,151.720
589.523,89.928,152.090
590.023,91.428,152.230
582.023,144.928,149.500
580.023,147.428,149.310
577.523,147.928,149.150
581.523,141.428,149.350
590.023,144.428,152.210
590.023,145.928,152.180
590.023,148.428,152.180
581.523,148.428,149.420
583.023,149.428,149.900
582.023,149.428,149.530
582.023,147.428,149.490
581.523,146.428,149.410
583.023,141.928,149.980
582.023,140.428,149.470
581.523,139.428,149.410
589.523,148.428,151.990
589.023,149.428,151.800
588.523,148.928,151.690
588.023,149.928,151.510
587.023,148.428,151.120
586.023,149.928,150.820
583.523,145.428,150.130
583.023,144.428,149.960
583.523,142.928,150.050
583.523,139.428,150.060
583.023,138.428,149.990
582.523,137.428,149.660
582.023,136.428,149.490
579.523,132.428,149.260
581.023,132.428,149.380
582.023,129.428,149.510
578.023,127.428,149.180
577.523,127.428,149.190
590.023,140.428,152.170
589.523,141.928,152.030
589.523,142.928,152.030
589.023,144.928,151.800
589.523,145.928,151.980
586.023,148.928,150.830
585.523,149.928,150.640
584.023,148.428,150.190
584.523,149.928,150.350
584.523,147.428,150.370
584.523,140.428,150.350
585.023,142.928,150.510
579.523,125.928,149.240
589.023,143.928,151.810
588.023,147.428,151.490
586.523,145.928,150.920
585.523,145.928,150.630
585.023,145.428,150.480
584.523,143.928,150.350
583.023,135.928,149.960
585.023,139.428,150.490
584.023,137.428,150.200
581.523,127.428,149.410
589.023,142.928,151.830
590.023,138.428,152.190
588.523,145.928,151.680
588.023,144.928,151.520
582.523,132.428,149.710
583.023,130.928,149.880
586.023,141.428,150.830
586.523,140.428,150.980
586.023,143.928,150.840
586.523,142.428,150.940
582.023,125.428,149.530
581.023,124.428,149.350
583.523,129.428,150.080
582.523,127.928,149.670
587.523,143.928,151.300
588.523,139.928,151.690
588.023,141.928,151.440
589.523,139.428,151.980
587.523,145.928,151.290
585.023,136.428,150.510
584.523,134.928,150.400
584.023,133.428,150.220
586.023,137.428,150.870
587.023,137.928,151.150
583.023,126.428,149.810
587.523,142.928,151.310
590.023,136.428,152.180
589.523,137.428,152.000
589.023,138.428,151.840
587.023,144.928,151.130
586.523,144.928,150.930
583.523,132.428,150.120
584.523,131.428,150.410
584.023,130.428,150.240
587.023,141.428,151.100
587.523,140.428,151.270
587.023,143.928,151.140
583.523,125.428,150.140
583.023,124.428,149.840
582.523,124.428,149.700
581.523,124.428,149.330
584.023,128.428,150.230
583.523,127.428,150.120
582.523,122.928,149.650
582.023,121.928,149.520
577.523,118.928,149.150
581.023,119.428,149.270
582.023,116.928,149.520
581.523,114.928,149.380
581.023,112.928,149.310
588.523,138.428,151.680
585.023,129.428,150.510
584.523,128.428,150.370
585.523,134.428,150.720
584.523,132.428,150.400
585.523,136.428,150.700
586.023,135.428,150.860
586.523,136.428,151.010
589.023,137.428,151.850
587.523,135.928,151.320
584.023,126.428,150.240
583.523,122.428,150.090
583.023,120.428,149.850
583.523,119.428,150.030
583.023,118.428,149.870
579.523,100.928,149.150
579.023,108.928,149.210
582.023,104.428,149.490
583.023,102.428,149.800
582.523,100.428,149.630
581.023,99.428,149.240
589.523,136.428,151.990
586.023,130.928,150.910
585.023,125.428,150.530
585.523,124.428,150.710
584.523,127.428,150.380
582.023,112.928,149.490
583.023,111.928,149.760
584.023,116.928,150.200
583.023,115.928,149.850
582.523,108.428,149.640
581.523,106.928,149.360
588.523,134.928,151.710
589.023,133.928,151.870
586.023,129.928,150.920
586.023,128.428,150.880
585.523,128.428,150.720
586.523,132.928,151.040
586.523,134.428,150.980
587.023,134.928,151.210
585.023,122.428,150.530
586.023,125.928,150.850
584.523,121.428,150.330
584.523,119.428,150.320
583.523,114.928,150.020
583.023,113.428,149.890
584.523,118.428,150.350
583.023,105.428,149.810
584.023,104.428,150.260
583.523,103.428,150.020
587.023,131.928,151.170
587.523,130.428,151.330
588.023,134.928,151.500
587.023,124.428,151.140
586.523,123.428,150.970
586.523,126.928,151.000
584.023,112.428,150.210
584.523,111.428,150.370
584.523,109.428,150.360
585.023,117.428,150.580
584.523,115.928,150.410
583.523,115.928,150.020
584.523,102.928,150.360
584.023,101.428,150.220
583.523,107.928,150.100
584.023,106.928,150.220
581.523,99.428,149.300
582.023,98.428,149.490
589.523,132.928,152.010
587.523,132.928,151.340
589.523,130.928,152.060
590.023,122.928,152.120
590.023,124.428,152.180
586.523,128.428,151.040
587.023,122.428,151.100
585.523,121.428,150.730
587.023,125.928,151.180
585.023,119.428,150.500
584.523,113.428,150.370
585.523,118.428,150.640
584.023,114.928,150.190
583.023,99.928,149.830
585.023,103.428,150.540
585.023,106.428,150.570
589.523,129.928,152.060
588.023,131.928,151.480
588.523,130.428,151.660
588.023,128.928,151.480
587.523,123.428,151.260
587.023,127.428,151.120
588.023,126.928,151.450
587.523,125.928,151.270
585.023,110.428,150.580
586.023,109.928,150.820
585.523,108.928,150.690
586.523,117.428,150.930
586.523,115.928,151.000
585.023,101.928,150.540
584.523,99.928,150.390
585.523,102.428,150.710
584.523,104.428,150.380
585.523,107.428,150.700
583.523,98.928,149.960
583.023,97.928,149.760
588.523,131.928,151.650
589.023,130.928,151.890
590.023,128.928,152.220
590.023,125.428,152.170
589.523,120.428,152.020
589.023,122.428,151.840
589.523,123.928,152.000
588.023,121.928,151.520
587.523,120.428,151.290
588.023,124.928,151.480
588.523,123.928,151.670
585.523,112.428,150.650
586.523,110.928,151.020
585.523,114.928,150.640
586.023,113.928,150.860
588.023,119.428,151.510
587.023,117.428,151.130
586.523,104.428,151.000
586.523,102.928,151.010
587.023,106.928,151.170
586.023,105.428,150.940
584.023,97.928,150.290
589.523,126.428,152.000
589.023,124.928,151.830
589.523,125.428,152.020
588.523,127.428,151.700
588.523,125.928,151.700
587.023,108.928,151.170
586.523,107.928,151.030
588.023,115.928,151.510
588.523,114.928,151.710
588.023,113.928,151.550
585.523,99.928,150.730
585.023,98.928,150.550
586.023,101.428,150.890
589.023,120.428,151.840
588.523,120.428,151.640
589.023,126.428,151.820
587.023,113.428,151.170
588.023,112.428,151.550
589.023,110.428,151.850
588.523,118.428,151.660
588.023,117.428,151.520
588.023,103.928,151.540
587.523,102.428,151.370
587.523,105.928,151.380
588.523,104.928,151.740
587.523,107.928,151.340
588.023,106.928,151.550
589.523,119.428,152.000
589.023,119.428,151.860
588.023,107.928,151.540
586.023,98.428,150.870
586.523,99.928,151.020
589.023,113.928,151.850
588.523,112.428,151.720
589.523,117.928,151.960
589.023,114.928,151.890
588.523,102.428,151.720
589.023,99.928,151.890
587.523,99.428,151.320
589.023,104.928,151.900
589.023,103.428,151.900
588.523,106.928,151.740
589.523,105.928,152.040
589.523,111.928,152.030
590.023,109.428,152.150
587.023,98.428,151.220
589.523,102.928,152.030
590.023,101.928,152.230
588.523,98.928,151.740
589.023,97.928,151.870
590.023,98.928,152.220
589.523,98.928,152.080
590.023,97.928,152.250
573.523,153.428,149.050
590.023,151.428,152.190
589.523,152.928,152.010
589.023,151.428,151.810
588.523,153.428,151.670
588.023,154.928,151.470
587.523,152.428,151.320
586.523,153.428,150.950
587.523,154.928,151.260
586.023,154.928,150.840
585.523,153.928,150.690
585.023,154.928,150.480
585.023,153.928,150.530
583.523,154.428,150.020
584.023,152.928,150.190
583.023,153.428,149.930
582.523,154.428,149.720
582.023,152.928,149.560
579.023,154.428,149.330
580.023,151.928,149.410
579.023,151.428,149.230
589.523,150.428,151.990
587.523,151.428,151.300
587.023,152.428,151.150
586.023,152.428,150.850
585.523,152.428,150.680
583.523,151.928,150.070
582.523,151.928,149.720
581.023,151.928,149.390
584.523,151.928,150.380
586.523,151.428,150.940
586.023,151.428,150.830
584.023,150.928,150.210
585.023,150.928,150.510
593.131,155.363,153.310
594.486,155.363,153.637
