X,Y,Z,U,V,formation,azimuth,dip,polarity
789218.735,6348841.92,238.597076,789218.735,6348841.92,CARBO,75.0,35.0,1
789210.771,6348850.445,235.777907,789210.771,6348850.445,CARBO,75.0,30.0,1
789081.458,6348899.727999999,223.585388,789081.458,6348899.727999999,CARBO,120.0,20.0,1
788818.373,6349048.211,233.209967,788818.373,6349048.211,CARBO,224.578,13.0,1
784035.635,6348209.7129999995,373.714685,784035.635,6348209.7129999995,CARBO,310.0,55.0,1
783917.453329,6348133.443792,379.009029,783917.453329,6348133.443792,CARBO,288.0,25.0,1
783754.4040000001,6352543.002,398.982934,783754.4040000001,6352543.002,CARBO,250.0,80.0,1
783671.839,6349534.668,387.943114,783671.839,6349534.668,CARBO,150.0,55.0,-1
783669.229285,6348762.708254,413.013233,783669.229285,6348762.708254,CARBO,130.0,20.0,1
783643.189,6350805.195,359.75497,783643.189,6350805.195,CARBO,114.0,60.0,1
783565.787,6350860.833,384.50533,783565.787,6350860.833,CARBO,320.0,30.0,1
783515.657,6350786.8379999995,347.624769,783515.657,6350786.8379999995,CARBO,158.0,28.0,1
783492.142,6350934.299,383.910667,783492.142,6350934.299,CARBO,244.0,22.0,1
783490.765,6347538.826,244.625611,783490.765,6347538.826,CARBO,20.0,10.0,1
783490.567,6350812.06,349.448675,783490.567,6350812.06,CARBO,190.0,38.0,1
783490.392,6349337.056,416.283545,783490.392,6349337.056,CARBO,70.0,40.0,-1
783438.8559999999,6351159.14,383.625108,783438.8559999999,6351159.14,CARBO,35.0,20.0,1
783417.422,6349226.851,415.641926,783417.422,6349226.851,CARBO,120.0,60.0,-1
783360.425,6349345.666,455.30093099999993,783360.425,6349345.666,CARBO,130.0,80.0,-1
783355.474,6347377.04,272.188225,783355.474,6347377.04,CARBO,110.0,30.0,1
783350.335,6349315.397000001,453.059698,783350.335,6349315.397000001,CARBO,120.0,60.0,-1
783346.7990000001,6347344.106000001,273.542618,783346.7990000001,6347344.106000001,CARBO,130.0,20.0,1
783327.2729999999,6349280.805,454.598154,783327.2729999999,6349280.805,CARBO,130.0,60.0,-1
783310.6259999999,6349255.437000001,454.663571,783310.6259999999,6349255.437000001,CARBO,115.0,50.0,-1
783297.316737,6351686.74225,447.443249,783297.316737,6351686.74225,CARBO,65.0,70.0,1
783294.7729999999,6349066.874,406.141989,783294.7729999999,6349066.874,CARBO,143.0,50.0,-1
783290.5190000001,6349223.006,453.003352,783290.5190000001,6349223.006,CARBO,145.0,28.0,-1
783289.782,6351683.815,447.744603,783289.782,6351683.815,CARBO,235.0,70.0,1
783275.463,6352525.812000001,443.40764,783275.463,6352525.812000001,CARBO,101.0,15.0,1
783248.359,6349171.766,448.784375,783248.359,6349171.766,CARBO,145.0,28.0,-1
783237.333,6349158.794,447.11048,783237.333,6349158.794,CARBO,145.0,58.0,-1
783235.0920000001,6353708.555,571.476663,783235.0920000001,6353708.555,CARBO,150.0,8.0,1
783214.848,6351613.938999999,450.877901,783214.848,6351613.938999999,CARBO,10.0,52.0,1
783200.383675,6349129.245995,445.809851,783200.383675,6349129.245995,CARBO,115.0,80.0,-1
783183.70918,6349122.88426,447.591693,783183.70918,6349122.88426,CARBO,95.0,90.0,1
783169.15982,6349109.920862,446.685963,783169.15982,6349109.920862,CARBO,110.0,60.0,-1
783154.325675,6349101.638569,447.40112,783154.325675,6349101.638569,CARBO,285.0,90.0,1
783153.505,6349478.741,532.046738,783153.505,6349478.741,CARBO,112.62,15.0,1
783137.331782,6349085.112719,446.692089,783137.331782,6349085.112719,CARBO,290.0,80.0,1
783127.0634270002,6349075.162089,446.641439,783127.0634270002,6349075.162089,CARBO,290.0,80.0,1
783107.378665,6349060.068256,446.850571,783107.378665,6349060.068256,CARBO,270.0,70.0,1
783099.2388630002,6349051.02003,445.226615,783099.2388630002,6349051.02003,CARBO,265.0,70.0,1
783081.536,6353973.182,623.7079669999998,783081.536,6353973.182,CARBO,280.0,22.0,1
783080.629692,6349034.086301,441.776058,783080.629692,6349034.086301,CARBO,285.0,70.0,1
783061.485,6347494.271000001,230.880808,783061.485,6347494.271000001,CARBO,55.0,10.0,1
783058.561492,6349017.487717,440.673002,783058.561492,6349017.487717,CARBO,265.0,40.0,1
783039.82598,6348998.372086,440.746391,783039.82598,6348998.372086,CARBO,260.0,15.0,1
783024.102741,6348977.34578,440.125051,783024.102741,6348977.34578,CARBO,240.0,20.0,1
782920.11,6353381.086,565.544903,782920.11,6353381.086,CARBO,290.0,2.0,1
782778.264575,6351816.007682,488.089144,782778.264575,6351816.007682,CARBO,30.0,30.0,1
782767.29,6353164.642999999,563.948399,782767.29,6353164.642999999,CARBO,348.0,11.0,1
782745.31,6353075.47,562.3573269999998,782745.31,6353075.47,CARBO,200.0,11.0,1
782386.474,6352189.7,517.0936820000002,782386.474,6352189.7,CARBO,35.0,30.0,1
782317.295,6349476.681,465.567645,782317.295,6349476.681,CARBO,302.0,20.0,1
782313.757,6348952.207,487.399367,782313.757,6348952.207,CARBO,336.0,14.0,1
782253.795,6352873.49,547.15273,782253.795,6352873.49,CARBO,227.0,9.0,1
782201.189,6347966.323,405.421419,782201.189,6347966.323,CARBO,176.0,19.0,1
782161.676,6348730.23,484.118377,782161.676,6348730.23,CARBO,20.0,14.0,1
782130.577,6348296.505,434.178981,782130.577,6348296.505,CARBO,295.0,10.0,1
782130.3609999999,6348067.62,420.346173,782130.3609999999,6348067.62,CARBO,212.0,8.0,1
782120.079,6349777.432,441.316831,782120.079,6349777.432,CARBO,58.0,20.0,1
782104.797112,6346980.038055,-956.27828,2511.6710000000003,-956.278,CARBO,88.57700000000001,10.042,1
782067.64,6348405.682,438.120222,782067.64,6348405.682,CARBO,14.0,16.0,1
782032.9090000001,6348741.887,475.542509,782032.9090000001,6348741.887,CARBO,74.0,5.0,1
781990.218,6349199.095,426.650928,781990.218,6349199.095,CARBO,166.0,8.0,1
781973.0859999999,6350271.057,465.532418,781973.0859999999,6350271.057,CARBO,60.0,5.0,1
781944.583,6348715.183999999,465.119454,781944.583,6348715.183999999,CARBO,0.0,10.0,1
781919.985,6347718.226,340.998853,781919.985,6347718.226,CARBO,190.0,10.0,1
781884.045,6347963.308999999,351.826452,781884.045,6347963.308999999,CARBO,340.0,10.0,1
781866.072,6348670.833,451.16964800000005,781866.072,6348670.833,CARBO,24.0,20.0,1
781834.837,6350400.367000001,466.636187,781834.837,6350400.367000001,CARBO,31.0,5.0,1
781828.7409999999,6349023.67,417.559796,781828.7409999999,6349023.67,CARBO,108.0,20.0,1
781819.2059999999,6347788.028,334.36192,781819.2059999999,6347788.028,CARBO,118.0,10.0,1
781774.682,6347586.345,302.1851660000001,781774.682,6347586.345,CARBO,216.0,10.0,1
781755.196,6349212.71,340.930849,781755.196,6349212.71,CARBO,98.0,20.0,1
781722.072,6347823.433999999,329.4915180000001,781722.072,6347823.433999999,CARBO,124.0,5.0,1
781717.589,6347984.482999999,296.9565330000001,781717.589,6347984.482999999,CARBO,142.0,14.0,1
781656.709,6348243.687000001,367.093962,781656.709,6348243.687000001,CARBO,0.0,10.0,1
781614.147,6352702.961,596.997653,781614.147,6352702.961,CARBO,170.0,22.0,1
781563.985,6350409.079,506.157142,781563.985,6350409.079,CARBO,35.0,40.0,1
781498.766,6348224.977999999,369.770736,781498.766,6348224.977999999,CARBO,350.0,10.0,1
781494.069,6352728.072000001,597.152771,781494.069,6352728.072000001,CARBO,235.0,30.0,1
781491.677,6350257.039,475.692651,781491.677,6350257.039,CARBO,342.0,14.0,1
781438.525,6352701.8,603.570821,781438.525,6352701.8,CARBO,184.0,18.0,1
781398.234,6348214.791,357.597521,781398.234,6348214.791,CARBO,0.0,10.0,1
781352.365,6350221.908,475.052023,781352.365,6350221.908,CARBO,0.0,50.0,1
781345.765,6348318.556,331.232257,781345.765,6348318.556,CARBO,70.0,10.0,1
781327.9709999999,6350379.365,523.579973,781327.9709999999,6350379.365,CARBO,335.0,20.0,1
781291.941,6352863.232999999,543.770123,781291.941,6352863.232999999,CARBO,110.0,26.0,1
781253.306,6352763.851,574.323905,781253.306,6352763.851,CARBO,130.0,28.0,1
781202.322,6351887.681,574.615574,781202.322,6351887.681,CARBO,110.0,22.0,1
781196.3509999999,6348319.964,275.665055,781196.3509999999,6348319.964,CARBO,132.0,85.0,1
781176.277,6348948.574,308.139952,781176.277,6348948.574,CARBO,34.0,20.0,1
781126.872,6352848.884,580.7363389999998,781126.872,6352848.884,CARBO,170.0,34.0,1
781029.618,6348861.135,323.28375,781029.618,6348861.135,CARBO,330.0,30.0,1
780989.918,6353193.772000001,531.148779,780989.918,6353193.772000001,CARBO,110.0,10.0,1
780976.713,6350305.958,518.107528,780976.713,6350305.958,CARBO,40.0,20.0,1
780969.984,6347905.955,239.675745,780969.984,6347905.955,CARBO,84.0,12.0,1
780929.603,6348126.541,246.564473,780929.603,6348126.541,CARBO,86.0,14.0,1
780923.1590000001,6353046.255,587.558654,780923.1590000001,6353046.255,CARBO,120.0,34.0,1
780838.113,6348782.0139999995,346.20841,780838.113,6348782.0139999995,CARBO,40.0,10.0,1
780792.873,6348821.432,351.807058,780792.873,6348821.432,CARBO,50.0,10.0,1
780731.3659999999,6351690.529,529.165786,780731.3659999999,6351690.529,CARBO,138.0,42.0,1
780710.2840000001,6348283.726,212.909858,780710.2840000001,6348283.726,CARBO,180.0,5.0,1
780702.354,6348965.824,367.086372,780702.354,6348965.824,CARBO,10.0,5.0,1
780697.199,6351427.882,508.297093,780697.199,6351427.882,CARBO,120.0,16.0,1
780634.693,6350383.794,466.381009,780634.693,6350383.794,CARBO,100.0,20.0,1
780625.2679999999,6351932.493,546.736989,780625.2679999999,6351932.493,CARBO,140.0,14.0,1
780613.627,6350844.616,403.187239,780613.627,6350844.616,CARBO,324.0,14.0,1
780576.125,6350529.706,409.48131,780576.125,6350529.706,CARBO,320.0,21.0,1
780565.411,6349242.9520000005,393.319253,780565.411,6349242.9520000005,CARBO,20.0,5.0,1
780561.4940000001,6352049.45,564.395375,780561.4940000001,6352049.45,CARBO,300.0,12.0,1
780452.907,6350422.581,400.758513,780452.907,6350422.581,CARBO,102.0,20.0,1
780441.298,6350205.775,448.328218,780441.298,6350205.775,CARBO,120.0,20.0,1
780397.767,6353305.072000001,579.2542480000002,780397.767,6353305.072000001,CARBO,120.0,16.0,1
780369.444,6350203.748,428.109065,780369.444,6350203.748,CARBO,102.0,10.0,1
780358.9240000001,6350089.174,424.1017690000001,780358.9240000001,6350089.174,CARBO,125.0,20.0,1
780351.814,6351085.708,466.627993,780351.814,6351085.708,CARBO,198.0,30.0,1
780319.0329999999,6350900.853999999,448.449858,780319.0329999999,6350900.853999999,CARBO,116.0,5.0,1
780271.777,6348464.79,210.886207,780271.777,6348464.79,CARBO,20.0,5.0,1
780270.074,6350794.679,430.066607,780270.074,6350794.679,CARBO,324.0,20.0,1
780225.3409999999,6350230.801,383.374139,780225.3409999999,6350230.801,CARBO,116.0,10.0,1
780181.103,6350066.911,372.458132,780181.103,6350066.911,CARBO,132.0,28.0,1
780168.162,6350833.381,443.058085,780168.162,6350833.381,CARBO,106.0,18.0,1
780140.559,6349046.435,309.201598,780140.559,6349046.435,CARBO,160.0,12.0,1
780073.391,6353389.8270000005,574.420656,780073.391,6353389.8270000005,CARBO,190.0,22.0,1
780048.19,6349589.686000001,357.497795,780048.19,6349589.686000001,CARBO,78.0,10.0,1
780039.314,6349156.256,330.0914640000001,780039.314,6349156.256,CARBO,68.0,28.0,1
780030.5859999999,6351857.141,510.733947,780030.5859999999,6351857.141,CARBO,80.0,10.0,1
780029.0090000001,6349779.435,361.516896,780029.0090000001,6349779.435,CARBO,74.0,40.0,1
779950.428,6348417.377,217.609368,779950.428,6348417.377,CARBO,116.0,30.0,1
779870.979,6348571.921,231.801058,779870.979,6348571.921,CARBO,45.0,10.0,1
779858.545,6352453.818,570.926807,779858.545,6352453.818,CARBO,80.0,26.0,1
779852.682,6350710.494,436.731028,779852.682,6350710.494,CARBO,190.0,6.0,1
779849.502,6350709.342,436.822246,779849.502,6350709.342,CARBO,330.0,18.0,1
779788.681,6348573.101,235.247046,779788.681,6348573.101,CARBO,46.0,30.0,1
779771.645,6353074.906,579.720171,779771.645,6353074.906,CARBO,200.0,10.0,1
779710.8929999999,6352197.517000001,560.797848,779710.8929999999,6352197.517000001,CARBO,60.0,35.0,1
779709.322,6350679.792,423.0616,779709.322,6350679.792,CARBO,120.0,10.0,1
779669.3709999999,6350681.509,415.382473,779669.3709999999,6350681.509,CARBO,70.0,20.0,1
779646.9820000001,6349482.387,276.971255,779646.9820000001,6349482.387,CARBO,92.0,50.0,1
779635.157,6349406.685,276.635084,779635.157,6349406.685,CARBO,92.0,40.0,1
779625.515,6353836.347999999,469.106706,779625.515,6353836.347999999,CARBO,78.0,34.0,1
779495.137,6348474.953,226.000071,779495.137,6348474.953,CARBO,66.0,24.0,1
779475.0009999999,6348614.694,246.806902,779475.0009999999,6348614.694,CARBO,75.0,24.0,1
784714.333,6349361.863,404.256019,784714.333,6349361.863,E_Affenadou,265.0,70.0,1
784621.048,6350057.44,357.440542,784621.048,6350057.44,E_Affenadou,255.71,70.0,1
784347.3740000001,6350359.261,316.354856,784347.3740000001,6350359.261,E_Affenadou,243.97,70.0,1
783639.818,6352489.679,408.343143,783639.818,6352489.679,E_Affenadou,250.0,80.0,1
782955.814,6354190.7360000005,607.2240009999998,782955.814,6354190.7360000005,E_Affenadou,56.888999999999996,70.0,-1
787312.807,6354298.938999999,232.270641,787312.807,6354298.938999999,E_MasDieu,67.166,45.0,1
787081.7109999999,6348612.625,388.517822,787081.7109999999,6348612.625,E_MasDieu,97.0,70.0,1
786303.5390000001,6346639.4629999995,376.903455,786303.5390000001,6346639.4629999995,E_MasDieu,305.0,75.0,-1
786095.085,6345651.262999999,338.848013,786095.085,6345651.262999999,E_MasDieu,100.0,65.0,1
