X,Y,Z,formation,uncertainty
786416.4559999999,6351499.212,272.56482,fault_NS,b
792500.0,6346634.223504,-165.363024,Liassic,d
792500.0,6346730.286544,-312.38019199999997,Carboniferous,d
792500.0,6345495.4158809995,-387.702817,Liassic,d
792500.0,6345428.620308001,-481.21661900000004,Triassic,d
788500.0,6345157.691515001,179.832122,Triassic,d
780400.0,6346092.522666001,46.303807,Liassic,d
780400.0,6346076.573051,-37.431670000000004,Triassic,d
780400.0,6346068.598244,-212.87743199999997,Carboniferous,d
783376.2676560001,6350050.0,-670.684983,Carboniferous,d
